From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is_Laundering
9096,8036AEDA0,27356,803A38AC0,7086.89,Yuan,7086.89,Yuan,Credit Card,0
9856,8039B4770,15885,803A50620,2018.82,Yuan,2018.82,Yuan,Cheque,0
9856,8039B4770,15885,803A50620,1067.28,Yuan,1067.28,Yuan,Credit Card,0
70,10042B6F0,692,803A639B0,13431.55,Yuan,13431.55,Yuan,Cheque,0
70,10042B6F0,692,803A639B0,18573.4,Yuan,18573.4,Yuan,Credit Card,0
9534,803AD5E60,17213,803AD6B20,13245.19,Yuan,13245.19,Yuan,ACH,1
70,10042B6F0,7082,803AE74E0,10632.64,Yuan,10632.64,Yuan,Cheque,0
7080,802938A60,17768,803B0E0E0,7785.47,Yuan,7785.47,Yuan,Cheque,0
7082,80316B9E0,9534,803B16340,9911.45,Yuan,9911.45,Yuan,Cheque,0
7082,80316B9E0,9534,803B16340,24160.39,Yuan,24160.39,Yuan,Credit Card,0
7082,80316B9E0,9534,803B16340,31397.95,Yuan,31397.95,Yuan,Cash,0
7082,80316B9E0,9534,803B16340,5496.65,Yuan,5496.65,Yuan,Wire,0
5893,803942590,692,803BF1A50,100797.46,Yuan,100797.46,Yuan,Cheque,0
5893,803942590,692,803BF1A50,70376.72,Yuan,70376.72,Yuan,Credit Card,0
26922,8033B89C0,27,803BF4FF0,13231.4,Yuan,13231.4,Yuan,Cheque,0
26922,8033B89C0,27,803BF4FF0,5562.69,Yuan,5562.69,Yuan,Credit Card,0
692,803987A90,10311,803C2EA70,125.67,Yuan,125.67,Yuan,Cheque,0
692,803987A90,10311,803C2EA70,217.89,Yuan,217.89,Yuan,Credit Card,0
692,803987A90,10311,803C2EA70,17.13,Yuan,17.13,Yuan,ACH,0
692,803987A90,10311,803C2EA70,62.97,Yuan,62.97,Yuan,Wire,0
70,10042B6F0,17213,803D240C0,5036.34,Yuan,5036.34,Yuan,Cheque,0
70,10042B6F0,17213,803D240C0,14.12,Yuan,14.12,Yuan,Credit Card,0
70,10042B6F0,17213,803D240C0,21.16,Yuan,21.16,Yuan,Cash,0
27425,8033915C0,19970,803D627E0,20549.35,Yuan,20549.35,Yuan,Cheque,0
27425,8033915C0,19970,803D627E0,6671.01,Yuan,6671.01,Yuan,Credit Card,0
27356,8028F5E40,19104,803D908A0,154.37,Yuan,154.37,Yuan,Cheque,0
27356,8028F5E40,19104,803D908A0,500.45,Yuan,500.45,Yuan,Credit Card,0
29867,803DF4BF0,27356,803DF4BA0,55574.59,Yuan,55574.59,Yuan,ACH,0
9530,8039DD960,15885,803E21390,134933.36,Yuan,134933.36,Yuan,Credit Card,0
9530,8039DD960,15885,803E21390,30137.73,Yuan,30137.73,Yuan,ACH,0
9534,8039452F0,5923,803E30610,11169.74,Yuan,11169.74,Yuan,Cheque,0
9534,8039452F0,5923,803E30610,69692.25,Yuan,69692.25,Yuan,Credit Card,0
27,800ECE180,210091,803E3B9E0,6054.11,Yuan,6054.11,Yuan,Cheque,0
27,800ECE180,210091,803E3B9E0,2786.77,Yuan,2786.77,Yuan,Credit Card,0
27356,803B9F5F0,29900,804049A00,14198.34,Yuan,14198.34,Yuan,Cheque,0
27356,803B9F5F0,29900,804049A00,4681.32,Yuan,4681.32,Yuan,Credit Card,0
5893,803BD46C0,29844,804066A40,906.49,Yuan,906.49,Yuan,Cheque,0
5893,803BD46C0,29844,804066A40,439.69,Yuan,439.69,Yuan,Credit Card,0
19970,803E5C0D0,29844,80429E4E0,18139.54,Yuan,18139.54,Yuan,Cheque,0
19970,803E5C0D0,29844,80429E4E0,103121.95,Yuan,103121.95,Yuan,Credit Card,0
70,10042B6F0,110593,8042E4120,12178.03,Yuan,12178.03,Yuan,Cheque,0
7082,8033EDAD0,210484,8042E5EB0,634.6,Yuan,634.6,Yuan,Cheque,0
7082,8033EDAD0,210484,8042E5EB0,5382.46,Yuan,5382.46,Yuan,Credit Card,0
7080,803A28E20,9856,804340060,22025.41,Yuan,22025.41,Yuan,Cheque,0
7080,803A28E20,9856,804340060,25340.54,Yuan,25340.54,Yuan,Credit Card,0
12,802C13B00,12,804340730,909.21,Yuan,909.21,Yuan,Cheque,0
12,802C13B00,12,804340730,1739.19,Yuan,1739.19,Yuan,Credit Card,0
27425,803172FF0,7082,8043420F0,5940.01,Yuan,5940.01,Yuan,Cheque,0
27425,803172FF0,7082,8043420F0,13855.62,Yuan,13855.62,Yuan,Cash,0
27,8028CEC00,11016,8044140A0,57772.63,Yuan,57772.63,Yuan,Credit Card,0
27,8028CEC00,11016,8044140A0,38717.85,Yuan,38717.85,Yuan,Cash,0
70,10042B6F0,27356,804499870,5636.65,Yuan,5636.65,Yuan,Cheque,0
28335,80447E670,29867,8044C2540,398298.48,Yuan,398298.48,Yuan,Cheque,0
28335,80447E670,29867,8044C2540,185853.91,Yuan,185853.91,Yuan,Credit Card,0
28335,80447E670,29867,8044C2540,110702.78,Yuan,110702.78,Yuan,Wire,0
27356,802F9E740,17768,8044D9DF0,2965.03,Yuan,2965.03,Yuan,Cheque,0
27356,802F9E740,17768,8044D9DF0,5286.77,Yuan,5286.77,Yuan,Credit Card,0
19970,8042B9F50,210091,80450C8D0,2096.9,Yuan,2096.9,Yuan,Cheque,0
19970,8042B9F50,210091,80450C8D0,2225.6,Yuan,2225.6,Yuan,Cash,0
19970,8042B9F50,210091,80450C8D0,702.45,Yuan,702.45,Yuan,ACH,0
8997,8039B3D80,11016,80465CC60,13466.07,Yuan,13466.07,Yuan,Cheque,0
